incidentdate,estimatedquantity,latitude,longitude
1/29/2025,0.978,5.4593806,6.7102361
1/11/2025,0.03,4.4038611,6.2680278
1/6/2025,2.4,5.0598483,6.57984
12/17/2024,6.8868,5.1099922,7.3568664
6/5/2024,25,5.01034,5.537444
5/4/2024,70,4.9470306,5.6650889
11/28/2024,350,4.5697778,5.9410278
2/19/2025,1000,4.5516944,7.0486389
2/8/2025,41,4.5502222,6.96725
3/3/2025,0.2,5.02598,6.37449
2/8/2025,0.3774,4.5533056,7.0058056
3/2/2025,0.000011,4.1111111,7.6288889
2/12/2025,0.5661,6.4896389,5.4051389
3/9/2025,0.000017,4.2783333,8.2045
3/6/2025,0.000314,4.2783333,8.2045
2/2/2024,0.08,4.4749444,6.1295
2/1/2024,0.06,4.4749722,6.1290556
2/13/2024,0.01,4.4871667,6.0937222
2/3/2024,0.01,4.475,6.2976667
2/18/2024,89,5.019685,6.362401
2/25/2024,0.63,4.4287222,6.27
2/10/2024,0.1,4.970434,6.636416
2/26/2024,0.11,4.5984167,6.2721944
2/11/2024,0.002,4.5051667,6.05625
2/19/2024,0.005,4.4855833,6.2584167
2/9/2024,0.35,4.5077778,6.0458056
3/1/2024,93.7,5.4338056,6.6917778
3/13/2024,0.078,5.4406667,6.6606389
3/21/2024,14,4.7475556,5.9770556
3/6/2024,0.07,5.2154444,6.5181111
3/14/2024,0.3,4.7666944,5.9790278
3/11/2024,2,4.592094,7.257154
3/12/2025,0.61,5.40775,6.56925
1/3/2025,5,4.876488,5.668159
3/8/2025,4,5.3881111,6.6525556
3/12/2025,3.13,5.3995278,6.62725
3/25/2025,0.001,5.86064,5.6773167
4/7/2025,2.5,5.3880556,6.6525833
3/25/2025,14,5.0885,6.6801111
3/22/2025,2.5,4.9864278,7.1627417
3/21/2025,200,5.01977,6.3624
3/20/2025,10,5.3965278,6.6281944
3/18/2025,311,4.643739,7.277618
3/31/2025,2,5.4148611,6.4996944
3/31/2025,0.00355,4.2395,8.1583333
3/27/2025,106,4.4764167,6.4761389
3/26/2025,0.04,4.4648333,6.1613889
3/24/2025,3.01,5.6325556,6.6710278
4/17/2025,4,4.9838583,7.12105
4/17/2025,1.54,5.3895833,6.63925
4/14/2025,0.05,4.9845333,7.1340556
4/13/2025,20,4.5135422,7.73168
4/10/2025,9,4.6619722,6.0653611
4/5/2025,7,5.006847,5.696812
4/2/2025,70,4.6872833,7.018815
5/24/2025,13,4.9008417,5.7817083
3/10/2025,7,4.918275,5.74884
3/8/2025,0.3145,4.7475278,5.9770833
3/14/2025,8.29,5.6186111,6.6713611
3/4/2025,5,4.5754722,5.9425
2/21/2025,1,4.4928333,6.0831667
2/19/2025,4,4.571,6.3799167
2/19/2025,0.2,4.7669444,5.9789167
2/18/2025,0.1,4.4748889,6.1279167
2/18/2025,0.31,4.7799167,5.9793333
2/18/2025,0.06,4.7442778,5.9763889
2/16/2025,1,4.5345833,5.9882778
2/15/2025,0.0314,4.8019444,5.9744722
2/13/2025,0.6,4.5100833,5.0359444
2/13/2025,6,4.4869444,6.0941111
2/10/2025,0.0314,4.5569444,5.9289722
2/8/2025,5,4.7676667,5.9790833
2/8/2025,176,4.6836833,6.9132944
12/8/2024,33,5.3471944,5.3561944
2/22/2025,0.006,5.6677056,5.2710111
3/20/2025,10,5.3965278,6.6281944
1/3/2025,5,6.07625,5.6485833
2/23/2025,0.1,5.4354222,5.8597972
3/31/2025,12,5.9262278,5.7040417
5/19/2025,10,5.7019444,5.1419444
12/26/2024,0.06,5.7233228,5.3416111
12/24/2024,0.44,4.8603311,7.0638061
12/23/2024,0.063,4.4998611,6.2571944
12/20/2024,0.3,4.4546389,6.1805556
12/19/2024,0.1,5.00362974,5.69706555
12/18/2024,10,4.7679444,5.9791944
12/18/2024,10,4.7679444,5.9791944
12/18/2024,10,4.7679444,5.9791944
12/18/2024,0.034,4.4940556,6.08075
12/17/2024,3,4.8351111,5.9547222
12/13/2024,0.1,4.8982116,5.7796441
12/13/2024,0.07,5.4175,6.598
12/11/2024,15,4.93838416,6.50165734
12/9/2024,55,5.07143644,6.55975292
12/6/2024,4,4.91977071,5.76553032
12/1/2024,8,4.8025,5.9671389
11/30/2024,9,4.7659444,5.9788056
11/25/2024,0.22,4.5020833,6.0630278
11/24/2024,140,4.5248889,6.0107222
11/20/2024,0.7,4.928834,6.44088771
11/15/2024,136,4.9382863,6.50120922
11/11/2024,5,7.3756389,5.1834
11/6/2024,10.1,5.0906389,6.5639167
11/3/2024,47,5.048529,6.585654
11/2/2024,2.12,5.039103,6.707173
10/28/2024,90,5.5416111,6.79425
10/27/2024,110,4.59587,7.25773
10/24/2024,10,4.6541667,5.9579722
10/16/2024,0.7,5.1145667,6.5687758
10/4/2024,1,4.4714722,6.13875
9/14/2024,0.268,5.3965556,6.6281667
9/14/2024,0.33,5.20365,6.517558
9/10/2024,12,5.042506,6.702111
9/9/2024,1,4.97822,6.6983
9/5/2024,5,4.93822571,6.50023542
9/3/2024,0.5,5.19751,6.51346
9/2/2024,78.5,5.0741944,6.5573889
9/1/2024,8,5.2005833,6.5901944
8/25/2024,1,4.8670336,5.5954831
8/25/2024,1,4.8670336,5.5954831
8/25/2024,1,4.8670336,5.5954831
8/23/2024,10,4.957829,6.760377
8/11/2024,0.13,4.7394167,5.9753611
8/9/2024,0.51,4.755,5.9766111
8/8/2024,0.31,4.7498333,5.9770556
8/7/2024,0.51,4.7524444,5.9768889
8/5/2024,0.18,4.7594444,5.9775
8/5/2024,0.125,4.5057222,6.0541944
8/4/2024,50,4.7622778,5.9783056
6/2/2025,0.003,5.8605833,5.1453333
3/23/2025,30.2,4.5294444,7.0330556
5/14/2025,53.5,4.5157556,7.7419583
4/29/2025,32,4.5134419,7.73168
6/9/2025,0.1887,5.2468472,6.6292889
6/1/2025,0.1887,4.9858333,7.1480556
6/1/2025,0.02,4.9841667,7.1272222
5/28/2025,0.1,4.6896792,7.27896792
5/28/2025,0.0629,4.6545833,7.0739444
5/28/2025,29,4.9861833,7.1631972
5/23/2025,1,5.5438861,6.7781056
5/19/2025,12,5.02529,6.36547
5/19/2025,221,5.0714972,6.5597361
5/7/2025,25,5.3060833,6.6305278
5/7/2025,100,4.673144,7.276492
5/1/2025,0.018,4.983742,7.120012
4/28/2025,70,5.345847,6.794621
4/16/2025,2,4.7361111,7.3033333
4/22/2025,74.3,5.6372222,6.6296667
4/13/2025,3,4.545131,6.9609389
4/3/2025,0.3,4.86697,7.0883
3/26/2025,0.13,5.4123889,6.59725
2/6/2025,25,5.7222778,6.642
2/3/2025,0.42005,5.1325833,5.8930278
2/3/2025,52,4.81181,7.15265
4/25/2025,4,4.55781042,7.25042924
4/24/2025,0.0012,4.9846678,7.13223331
6/10/2025,0.4,4.9622775,6.74616483
5/11/2025,0.2,4.9733511,6.71254
4/28/2025,15,4.8057778,6.1107778
1/24/2025,0.8,4.95466651,6.79192976
1/11/2025,0.4,4.9793881,6.3299939
1/1/2025,2,4.8933226,5.62230614
5/11/2024,1297.95,4.55084,7.24848
5/28/2025,0.0629,4.6451667,7.0594444
6/18/2025,4,5.5901556,5.6527639
6/1/2025,18,5.9097222,5.7040278
5/1/2025,125,5.5088889,5.4766667
6/3/2025,12,5.5086111,5.4763889
6/1/2024,21,4.9768167,5.5781714
8/3/2024,0.2503,5.3645556,6.6679722
6/17/2025,2,4.46358,7.18736
4/26/2025,95,4.8095,6.1000583
6/24/2024,3,5.04507,6.58898
3/25/2024,79.5,5.0463894,6.5460831
6/27/2025,0.001,4.9858333,7.1638889
6/27/2025,0.001,4.9863889,7.1536111
6/27/2025,0.009,4.9863889,7.1530556
6/27/2025,6,5.1978472,6.5115556
6/30/2025,93.11,4.5438889,8.0180556
6/27/2025,1.07,5.1918278,6.4968056
7/1/2025,0.126,4.5486111,8.0177778
